NoACCESOSFIJOSAINTERNET,INDICE,COD_MUNICIPIO
772844,"29,78",5001
1103,"5,18",5002
151,"5,32",5004
102,"2,08",5021
3608,"11,23",5030
1466,"5,30",5031
4221,"9,22",5034
578,"9,50",5036
410,"3,42",5038
1871,"9,58",5040
3843,"13,81",5042
704,"9,47",5044
27980,"21,46",5045
1427,"4,48",5051
239,"3,00",5055
783,"14,61",5059
8742,"15,71",5079
603,"9,49",5086
146673,"26,10",5088
980,"9,07",5091
1418,"8,60",5093
1946,"7,09",5101
707,"8,34",5107
940,"9,47",5113
1284,"4,15",5120
728,"8,27",5125
22161,"25,95",5129
427,"4,42",5134
1111,"6,83",5138
410,"8,58",5142
479,"9,76",5145
7126,"13,76",5147
15944,"25,01",5148
414,"9,92",5150
16015,"16,51",5154
10033,"16,25",5172
2213,"21,43",5190
5808,"35,44",5197
464,"9,24",5206
1598,"7,09",5209
22971,"27,49",5212
1905,"7,81",5234
5586,"27,66",5237
2242,"17,64",5240
13045,"23,36",5250
2755,"22,99",5264
86168,"34,98",5266
1832,"7,11",5282
1927,"8,87",5284
522,"8,85",5306
12195,"21,98",5308
837,"8,13",5310
4075,"38,08",5313
411,"5,93",5315
15411,"26,02",5318
2289,"25,59",5321
1034,"18,20",5347
542,"9,36",5353
87042,"29,31",5360
1145,"4,00",5361
2159,"14,02",5364
1376,"9,59",5368
23118,"33,11",5376
23745,"30,85",5380
742,"8,66",5390
1518,"6,64",5400
447,"4,23",5411
342,"3,96",5425
40344,"58,18",5440
559,"8,02",5467
104,"1,98",5475
1016,"6,82",5480
493,"4,60",5483
2506,"5,55",5490
1505,"5,43",5495
354,"10,75",5501
11453,"51,11",5541
420,"4,89",5543
747,"8,19",5576
8853,"21,15",5579
1357,"8,97",5585
1165,"6,01",5591
4575,"15,11",5604
8083,"32,04",5607
44394,"30,47",5615
421,"4,39",5628
42930,"48,25",5631
1550,"8,09",5642
648,"8,53",5647
2446,"14,53",5649
939,"15,79",5652
5045,"30,82",5656
378,"9,78",5658
791,"3,67",5659
3739,"27,31",5660
5246,"22,41",5664
3984,"12,11",5665
1483,"8,99",5667
2270,"9,97",5670
2055,"8,80",5674
3164,"11,44",5679
2647,"6,83",5686
526,"4,06",5690
14114,"37,34",5697
8717,"21,47",5736
4976,"13,03",5756
4344,"27,24",5761
2573,"15,11",5789
2836,"9,82",5790
396,"6,08",5792
1837,"16,32",5809
185,"3,54",5819
12716,"9,53",5837
270,"3,74",5842
2497,"7,83",5847
1000,"6,85",5854
553,"8,04",5856
716,"5,75",5858
1538,"12,60",5861
205,"2,12",5873
508,"6,33",5885
7092,"16,08",5887
1027,"4,31",5890
1453,"7,06",5893
2556,"9,83",5895
310577,"23,47",8001
6180,"8,94",8078
469,"1,89",8137
351,"1,99",8141
10474,"15,40",8296
1158,"4,96",8372
550,"1,78",8421
12722,"8,91",8433
886,"4,08",8436
1310,"4,08",8520
17,"0,23",8549
347,"1,73",8558
520,"1,97",8560
7551,"13,73",8573
710,"2,47",8606
3278,"9,10",8634
5646,"5,46",8638
288,"1,62",8675
2199,"6,65",8685
112693,"16,67",8758
300,"2,29",8770
413,"2,16",8832
1183,"8,72",8849
2303696,"29,13",11001
202371,"19,24",13001
187,"0,69",13006
820,"6,80",13030
593,"7,47",13042
4937,"6,55",13052
660,"7,53",13062
1226,"7,58",13074
1203,"4,90",13140
90,"1,00",13160
632,"4,31",13188
518,"2,98",13212
921,"5,73",13222
2581,"3,40",13244
69,"0,73",13248
18,"0,22",13268
22,"0,17",13300
5567,"3,84",13430
1216,"4,04",13433
102,"0,87",13440
3126,"6,19",13442
1042,"5,71",13458
4040,"8,35",13468
934,"3,80",13473
178,"1,65",13490
31,"0,12",13549
97,"1,29",13580
1055,"9,23",13600
488,"5,62",13620
1017,"5,13",13647
119,"0,87",13650
2240,"8,72",13654
13,"0,12",13655
927,"2,32",13657
776,"4,87",13667
2434,"8,24",13670
56,"0,35",13673
353,"1,55",13683
2369,"6,61",13688
1689,"8,49",13744
712,"6,15",13760
443,"3,19",13780
594,"3,05",13810
18727,"16,32",13836
818,"4,60",13838
1864,"7,23",13873
1071,"8,37",13894
49281,"26,57",15001
6,"0,30",15022
915,"5,61",15047
448,"7,15",15051
732,"9,25",15087
55,"3,31",15090
30,"1,47",15092
133,"2,48",15097
133,"2,47",15104
9,"0,39",15106
88,"1,90",15109
48,"3,99",15114
9,"0,27",15131
754,"23,14",15135
333,"8,51",15162
18,"0,53",15172
5567,"9,26",15176
53,"1,28",15180
90,"1,08",15183
18,"0,29",15185
126,"4,26",15187
270,"5,52",15189
451,"3,25",15204
9,"0,24",15212
223,"8,38",15215
64,"2,20",15218
155,"1,39",15223
169,"4,25",15224
63,"3,32",15226
31,"0,62",15232
14,"0,53",15236
30478,"23,16",15238
111,"2,54",15244
10,"0,31",15248
516,"7,26",15272
178,"5,20",15276
168,"5,72",15293
151,"2,95",15296
988,"5,14",15299
7,"0,36",15317
143,"1,25",15322
124,"3,54",15325
14,"0,31",15332
274,"13,19",15362
427,"5,57",15367
76,"1,84",15368
39,"1,06",15377
10,"0,35",15380
13,"1,10",15401
13,"0,41",15403
4207,"24,09",15407
270,"5,10",15425
16,"0,27",15442
919,"9,78",15455
61,"1,25",15464
382,"8,58",15466
1399,"5,81",15469
282,"4,74",15476
359,"3,98",15480
2241,"13,05",15491
208,"3,83",15494
131,"4,36",15500
466,"5,46",15507
8,"0,31",15511
17,"0,50",15514
8179,"22,67",15516
67,"2,65",15518
9,"0,50",15522
287,"3,80",15531
8,"0,29",15533
443,"9,91",15537
191,"2,68",15542
11,"0,59",15550
5803,"11,57",15572
16,"0,31",15580
706,"6,70",15599
566,"6,71",15600
14,"0,56",15621
28,"0,19",15632
511,"8,71",15638
1346,"6,85",15646
129,"7,35",15660
185,"3,51",15664
50,"0,86",15667
131,"3,72",15673
113,"3,57",15676
54,"0,77",15681
109,"1,35",15686
164,"4,45",15690
348,"2,49",15693
74,"2,19",15696
14,"0,61",15720
39,"3,39",15723
