CÓDIGO_MUNICIPIO,TASA_MATRICULACIÓN_5_16,COBERTURA_BRUTA,SEDES_CONECTADAS_A_INTERNET
5001,101.3,116.3,98.33
5002,79.8,86.32,12.5
5004,95.8,103.98,27.27
5021,104.6,110.25,14.29
5030,65.4,72.97,66.67
5031,90.5,103.1,15.52
5034,75.4,87.36,21.54
5036,60.1,72.63,33.33
5038,100.9,113.83,7.14
5040,93.6,103.89,16.42
5042,99.0,116.15,60.0
5044,68.9,73.52,17.65
5045,59.0,71.09,46.88
5051,71.1,86.1,20.0
5055,70.7,74.83,4.65
5059,64.6,72.63,28.57
5079,69.9,78.5,30.0
5086,88.9,100,21.43
5088,78.5,89.82,93.65
5091,78.8,87.91,30.77
5093,84.0,95.4,21.43
5101,79.1,90.17,36.36
5107,81.0,91.09,10.53
5113,97.9,116.62,10.71
5120,68.7,83.6,21.15
5125,74.6,83.02,35.0
5129,78.8,85.2,66.67
5134,80.3,83.69,11.36
5138,71.7,83.93,22.58
5142,66.4,75.85,21.43
5145,71.2,74.25,26.32
5147,79.9,94.11,44.19
5148,83.9,89.58,30.43
5150,93.0,108.57,50.0
5154,77.6,89.24,32.26
5172,71.6,81.89,38.3
5190,86.0,95,33.33
5197,100.1,106.9,13.56
5206,98.9,103.44,10.53
5209,79.1,92.48,8.51
5212,98.4,107.73,62.5
5234,97.3,111.11,29.11
5237,70.6,77.94,27.78
5240,67.7,76.1,31.25
5250,110.1,126.58,25.61
5264,82.0,89.99,28.57
5266,65.5,70.69,100.0
5282,72.3,88.73,17.65
5284,119.6,139.75,19.18
5306,125.2,142.67,21.43
5308,63.3,70.45,23.33
5310,56.2,65.71,30.0
5313,87.5,94.11,7.5
5315,87.0,104.22,41.18
5318,59.4,64.79,18.75
5321,124.9,137.11,28.57
5347,71.9,84.24,18.75
5353,96.6,113.28,100.0
5360,71.2,80.38,100.0
5361,93.8,104.22,25.0
5364,82.7,93.89,33.33
5368,82.0,93.31,23.33
5376,87.4,97.02,45.45
5380,99.9,110,36.36
5390,106.9,119.73,100.0
5400,89.7,99.23,8.0
5411,101.3,113.41,23.53
5425,132.6,150.04,30.0
5440,90.9,100.43,24.44
5467,72.7,78.43,17.39
5475,112.7,127.48,18.18
5480,89.1,102.93,12.5
5483,47.7,52.6,4.44
5490,82.0,94.68,12.7
5495,97.9,112.88,13.46
5501,69.2,74.8,50.0
5541,82.4,88.58,22.73
5543,61.3,71.34,12.5
5576,92.2,101.1,40.0
5579,69.8,77.73,48.39
5585,62.3,71.47,28.57
5591,75.6,85.57,50.0
5604,93.2,100.46,26.19
5607,116.7,123.34,29.41
5615,82.8,94.04,100.0
5628,83.7,93.94,10.71
5631,128.8,138.58,88.89
5642,73.0,82.94,15.38
5647,95.1,105.54,11.11
5649,84.5,96.17,13.33
5652,94.4,102.76,27.27
5656,82.6,93.89,19.23
5658,74.4,86.67,16.67
5659,85.3,97.73,22.22
5660,113.2,123.36,18.18
5664,78.0,86.15,23.08
5665,104.9,118.33,12.5
5667,148.7,169.2,13.56
5670,99.3,112.93,15.69
5674,91.1,97.43,15.38
5679,77.8,85.27,20.93
5686,97.8,106.72,43.08
5690,108.4,125.28,8.89
5697,117.9,130.06,22.58
5736,81.2,93.37,50.0
5756,87.2,98.44,17.35
5761,78.9,89.81,38.71
5789,93.6,115.14,42.11
5790,66.8,79.43,12.9
5792,53.1,68.36,16.67
5809,52.6,58.36,11.76
5819,77.4,89.63,5.26
5837,86.6,99.41,45.83
5842,71.8,87.01,22.86
5847,56.1,62.22,14.56
5854,55.9,59.29,30.56
5856,61.6,69.99,15.38
5858,123.7,138.49,16.67
5861,77.7,87.59,11.11
5873,183.5,231.31,62.5
5885,55.8,65.49,19.23
5887,72.0,89.98,52.83
5890,69.4,79.88,8.06
5893,89.1,96.99,2.17
5895,101.6,121.56,11.86
8001,99.7,109.82,92.49
8078,97.7,106.49,100.0
8137,106.2,120.64,80.0
8141,102.1,115.45,100.0
8296,99.5,106.51,90.0
8372,92.4,98.91,100.0
8421,90.0,98.73,73.33
8433,83.5,89.31,100.0
8436,123.8,148.55,83.33
8520,102.1,109.61,90.0
8549,79.2,91.58,50.0
8558,95.8,104.42,100.0
8560,82.0,91.4,100.0
8573,273.8,286.92,100.0
8606,81.1,89.72,83.33
8634,95.2,102.59,100.0
8638,82.8,90.18,100.0
8675,87.4,98.93,75.0
8685,85.2,92.73,90.0
8758,70.2,75,95.56
8770,125.2,141.29,100.0
8832,93.4,104.05,90.91
8849,78.3,84.06,100.0
11001,79.9,86.62,98.76
13001,97.5,106.43,6.99
13006,103.5,121.83,37.5
13030,73.4,84.8,53.33
13042,34.8,38.8,26.67
13052,81.7,96.79,75.0
13062,62.2,72.01,83.33
13074,85.8,98.94,25.71
13140,91.1,110.08,56.25
13160,91.4,103.22,16.13
13188,120.5,141.47,60.0
13212,112.8,133.67,42.86
13222,86.0,97.9,62.5
13244,79.8,93.87,37.0
13248,89.7,99.03,75.0
13268,76.6,85.41,43.75
13300,92.7,103.84,82.35
13430,100.3,117,38.27
13433,97.1,113.73,68.0
13440,86.0,94.4,52.17
